item_id,product_name,department_name,price,stock_quantity
1,Wilson Evolution Indoor Game Basketbal,Sports & Outdoors,54.99,30
2,Logitech G903 LIGHTSPEED Gaming Mouse with POWERPLAY Wireless Charging Compatibility,Computers & Acessories,114.88,20
3,Cracking the Coding Interview: 189 Programming Questions and Solutions 6th Edition,Books,34.88,30
4,Super Smash Bros. Ultimate,Video Games,56.35,3
5,MAPOL 50- Pack Orange 3-Star Premium Ping Pong Balls Advanced Training Table Tennis Ball,Sports & Outdoors,11.59,1
6,Coporate Finance For Dummies,Books,20.33,30
7,Red Dragon VT 2-23 C Weed Dragon 100000-BTU Propane Vapor Torch Kit,Garden & Outdoor,58.32,30
8,Boosted Mini x Electric Skateboard,Sports & Outdoors,999.99,30
9,RCA Digital Alarm Clock with Large 1.4" Display,Home Audio & Theater,10.81,4
10,AmazonBasics Carry-On Travel Backpack Black, Sports & Outdoors,48.99,30